Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone
0,3,0,1,7.25,0,0
1,1,1,2,71.2833,1,0
1,3,1,1,7.925,0,1
1,1,1,2,53.1,0,0
0,3,0,2,8.05,0,1
0,3,0,1,8.4583,2,1
0,1,0,3,51.8625,0,1
0,3,0,0,21.075,0,0
1,3,1,1,11.1333,0,0
1,2,1,0,30.0708,1,0
1,3,1,0,16.7,0,0
1,1,1,3,26.55,0,1
0,3,0,1,8.05,0,1
0,3,0,2,31.275,0,0
0,3,1,0,7.8542,0,1
1,2,1,3,16.0,0,1
0,3,0,0,29.125,2,0
1,2,0,1,13.0,0,1
0,3,1,1,18.0,0,0
1,3,1,1,7.225,1,1
0,2,0,2,26.0,0,1
1,2,0,2,13.0,0,1
1,3,1,0,8.0292,2,1
1,1,0,1,35.5,0,1
0,3,1,0,21.075,0,0
1,3,1,2,31.3875,0,0
0,3,0,1,7.225,1,1
0,1,0,1,263.0,0,0
1,3,1,1,7.8792,2,1
0,3,0,1,7.8958,0,1
0,1,0,2,27.7208,1,1
1,1,1,2,146.5208,1,0
1,3,1,1,7.75,2,1
0,2,0,66,10.5,0,1
0,1,0,1,82.1708,1,0
0,1,0,2,52.0,0,0
1,3,0,1,7.2292,1,1
0,3,0,1,8.05,0,1
0,3,1,1,18.0,0,0
1,3,1,0,11.2417,1,0
0,3,1,2,9.475,0,0
0,2,1,1,21.0,0,0
0,3,0,1,7.8958,1,1
1,2,1,0,41.5792,1,0
1,3,1,1,7.8792,2,1
0,3,0,1,8.05,0,1
0,3,0,1,15.5,2,0
1,3,1,1,7.75,2,1
0,3,0,1,21.6792,1,0
0,3,1,1,17.8,0,0
0,3,0,0,39.6875,0,0
0,3,0,1,7.8,0,1
1,1,1,3,76.7292,1,0
1,2,1,1,26.0,0,0
0,1,0,65,61.9792,1,0
1,1,0,2,35.5,0,1
1,2,1,1,10.5,0,1
0,3,0,1,7.2292,1,1
1,2,1,0,27.75,0,0
0,3,0,0,46.9,0,0
0,3,0,1,7.2292,1,1
1,1,1,2,80.0,0,1
0,1,0,2,83.475,0,0
0,3,0,0,27.9,0,0
0,1,0,2,27.7208,1,1
1,3,0,1,15.2458,1,0
1,2,1,1,10.5,0,1
0,3,0,1,8.1583,0,1
1,3,1,1,7.925,0,0
0,3,0,1,8.6625,0,0
0,2,0,1,10.5,0,1
0,3,1,0,46.9,0,0
0,2,0,1,73.5,0,1
0,3,0,1,14.4542,1,0
1,3,0,1,56.4958,0,1
0,3,0,1,7.65,0,1
0,3,0,1,7.8958,0,1
0,3,0,1,8.05,0,1
1,2,0,0,29.0,0,0
1,3,1,1,12.475,0,1
0,3,0,1,9.0,0,1
1,3,0,1,9.5,0,1
1,3,1,1,7.7875,2,1
0,1,0,1,47.1,0,1
1,2,1,1,10.5,0,1
1,3,1,2,15.85,0,0
0,3,0,0,34.375,0,0
0,3,0,1,8.05,0,1
1,1,1,1,263.0,0,0
0,3,0,1,8.05,0,1
0,3,0,1,8.05,0,1
0,3,0,1,7.8542,0,1
0,1,0,2,61.175,0,0
0,3,0,1,20.575,0,0
0,3,0,3,7.25,0,1
0,3,0,1,8.05,0,1
0,1,0,71,34.6542,1,1
1,1,0,1,63.3583,1,0
1,2,1,2,23.0,0,0
0,2,0,2,26.0,0,0
0,3,1,1,7.8958,0,1
0,3,0,1,7.8958,0,1
0,1,0,1,77.2875,0,0
0,3,0,2,8.6542,0,1
0,3,0,2,7.925,0,0
0,3,0,1,7.8958,0,1
1,3,1,1,7.65,0,1
1,3,0,1,7.775,0,1
0,3,0,2,7.8958,0,1
1,3,1,1,24.15,2,0
0,1,0,2,52.0,0,1
0,3,1,0,14.4542,1,0
0,3,0,1,8.05,0,1
0,3,1,1,9.825,0,0
0,3,1,1,14.4583,1,1
0,3,0,1,7.925,0,1
0,3,0,70,7.75,2,1
0,2,0,1,21.0,0,0
0,1,0,1,247.5208,1,0
0,3,1,0,31.275,0,0
0,2,0,1,73.5,0,0
0,3,0,1,8.05,0,1
0,2,0,1,30.0708,1,0
1,2,1,1,13.0,0,1
0,1,0,3,77.2875,0,0
1,3,0,0,11.2417,1,0
0,3,0,1,7.75,2,1
1,3,0,1,7.1417,0,1
1,3,1,1,22.3583,1,0
0,3,0,2,6.975,0,1
0,3,0,2,7.8958,1,1
0,3,0,1,7.05,0,1
0,3,1,2,14.5,0,0
1,2,1,1,26.0,0,0
0,2,0,1,13.0,0,1
0,2,0,1,15.0458,1,1
1,1,1,1,26.2833,0,0
0,1,0,2,53.1,0,0
0,3,0,0,9.2167,0,1
0,1,0,1,79.2,1,1
0,3,1,1,15.2458,1,0
1,3,1,1,7.75,0,1
1,3,1,1,15.85,0,0
0,3,0,1,6.75,2,1
0,2,0,1,11.5,0,1
0,2,0,1,36.75,0,0
1,3,0,1,7.7958,0,1
0,3,1,0,34.375,0,0
0,2,0,2,26.0,0,0
0,2,0,2,13.0,0,1
0,2,0,3,12.525,0,1
1,1,1,1,66.6,0,0
0,3,0,3,8.05,0,1
0,3,0,2,14.5,0,0
0,3,0,1,7.3125,0,1
0,1,0,3,61.3792,1,0
1,3,1,0,7.7333,2,1
0,3,0,1,8.05,0,1
0,3,0,1,8.6625,0,1
0,3,0,1,69.55,0,0
0,3,0,2,16.1,0,0
1,2,1,2,15.75,0,1
0,3,0,1,7.775,0,1
0,3,0,1,8.6625,0,1
0,3,0,0,39.6875,0,0
1,3,0,0,20.525,0,0
1,1,1,2,55.0,0,0
0,3,1,2,27.9,0,0
0,1,0,2,25.925,0,1
0,3,0,1,56.4958,0,1
0,1,0,3,33.5,0,1
0,3,0,0,29.125,2,0
1,3,1,0,11.1333,0,0
0,3,0,1,7.925,0,1
0,1,0,3,30.6958,1,1
0,3,0,1,7.8542,0,0
0,3,0,1,25.4667,0,0
0,1,1,3,28.7125,1,1
0,2,0,1,13.0,0,1
0,3,0,2,0.0,0,1
0,3,1,1,69.55,0,0
0,2,0,1,15.05,1,1
0,3,0,0,31.3875,0,0
1,2,0,0,39.0,0,0
1,3,1,0,22.025,0,0
0,1,0,2,50.0,0,1
1,3,1,1,15.5,2,0
1,1,0,2,26.55,0,1
0,3,0,2,15.5,2,0
0,3,0,2,7.8958,0,1
1,2,1,1,13.0,0,1
0,2,0,1,13.0,0,1
1,3,1,1,7.8542,0,0
1,2,0,0,26.0,0,0
1,1,1,2,27.7208,1,1
1,1,1,3,146.5208,1,1
0,3,0,1,7.75,2,1
0,3,0,2,8.4042,0,0
1,3,1,1,7.75,2,1
0,2,1,1,13.0,0,1
0,3,0,1,9.5,0,1
0,3,0,1,69.55,0,0
0,3,0,2,6.4958,0,1
0,3,0,2,7.225,1,1
1,3,0,1,8.05,0,1
0,3,1,0,10.4625,0,0
0,3,0,1,15.85,0,0
1,3,0,1,18.7875,1,1
1,3,1,0,7.75,2,1
1,1,0,2,31.0,1,1
0,3,0,1,7.05,0,1
1,2,1,2,21.0,0,1
0,3,0,1,7.25,0,1
0,2,0,1,13.0,0,1
0,3,0,1,7.75,2,0
1,1,1,1,113.275,1,0
1,3,1,1,7.925,0,1
0,2,0,2,27.0,0,0
1,1,1,1,76.2917,1,1
0,2,0,1,10.5,0,1
1,3,0,0,8.05,0,1
0,2,0,1,13.0,0,1
0,3,0,3,8.05,0,1
0,3,0,1,7.8958,0,1
1,1,0,2,90.0,0,0
0,3,0,1,9.35,0,1
1,2,0,1,10.5,0,1
0,3,0,1,7.25,0,1
0,2,0,1,13.0,0,1
0,3,1,1,25.4667,0,0
1,1,1,2,83.475,0,0
0,3,0,1,7.775,0,1
0,2,0,3,13.5,0,1
1,3,1,0,31.3875,0,0
0,2,0,1,10.5,0,1
0,3,1,1,7.55,0,1
0,2,0,2,26.0,0,0
1,2,1,0,26.25,0,0
0,2,0,1,10.5,0,1
0,2,0,2,12.275,0,1
0,3,1,1,14.4542,1,0
1,3,1,1,15.5,2,0
0,2,0,1,10.5,0,1
